seller_id,seller_state,product_category_name_english,total_revenue,total_orders,avg_review_score,avg_freight
054694fa03fe82cec4b7551487331d74,SP,housewares,224.1,1,1.0,19.46
054694fa03fe82cec4b7551487331d74,SP,small_appliances,3688.0,8,3.5,32.82625
056b4ada5bbc2c50cc7842547dda6b51,RJ,electronics,2289.95,5,4.6,24.768
056b4ada5bbc2c50cc7842547dda6b51,RJ,watches_gifts,9913.45,59,4.11864406779661,19.309166666666666
0570350b23eda5444f8d1d9544932058,SP,health_beauty,278.5,4,5.0,16.104000000000003
0570350b23eda5444f8d1d9544932058,SP,perfumery,348.40000000000003,2,5.0,7.39
05730013efda596306417c3b09302475,SC,arts_and_craftmanship,238.0,1,5.0,68.72
05730013efda596306417c3b09302475,SC,furniture_decor,714.0,3,5.0,49.31666666666666
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,luggage_accessories,1236.0,11,3.5833333333333335,62.318333333333335
058fd0aa2bfdb2274e05e1ae971dabb6,SP,health_beauty,140.0,1,2.0,15.73
058fd0aa2bfdb2274e05e1ae971dabb6,SP,perfumery,7409.9,59,4.419354838709677,13.921774193548387
05a48cc8859962767935ab9087417fbb,SP,garden_tools,42.9,1,5.0,16.49
05a940b4ecae36cadfd8e93bd9c43257,GO,audio,251.9,1,1.0,19.04
05a940b4ecae36cadfd8e93bd9c43257,GO,computers_accessories,193.60000000000002,4,4.5,22.2075
05a940b4ecae36cadfd8e93bd9c43257,GO,cool_stuff,249.60000000000002,4,4.75,15.2825
05aebce0b5c8f0d41b29b686f2d05fd3,SP,garden_tools,40.0,1,5.0,36.55
05aebce0b5c8f0d41b29b686f2d05fd3,SP,home_comfort_2,34.99,1,5.0,9.34
05ca864204d09595ae591b93ea9cf93d,SP,consoles_games,179.9,1,5.0,8.52
05d2173d43ea568aa0540eba70d2ca76,MG,auto,4509.0599999999995,46,3.9591836734693877,26.7646
05d2173d43ea568aa0540eba70d2ca76,MG,construction_tools_construction,670.6,12,4.0,22.14833333333333
05d2173d43ea568aa0540eba70d2ca76,MG,housewares,580.0,4,4.666666666666667,18.814999999999998
05e107217c7266362fd44b75b2cd4cc4,SP,stationery,193.38000000000002,5,4.125,10.251249999999999
05f51e13da97139648b8125c31e5f51b,MG,baby,12614.51,55,4.224137931034483,31.424310344827585
05f51e13da97139648b8125c31e5f51b,MG,cool_stuff,485.79999999999995,2,5.0,33.02
